0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
450,861,1081,1336,1988,2507,2823,2875,3575,4081,4567,4780,4843,5268,5802,6645,6794,7370.0,7473.0,7969.0,8480.0,8799.0,8980.0,9450.0,9907.0,10163.0,10690.0,11505.0,11642.0,11800.0,12118.0,12313.0,12550.0,13043.0,,,,,,,,,
231,470,660,1046,1511,1873,1942,2168,2545,2713,3335,3778,4099,4163,4315,4977,5388,5800.0,6156.0,6487.0,6860.0,7610.0,7829.0,8130.0,8509.0,8609.0,8732.0,,,,,,,,,,,,,,,,
652,842,1068,1362,1685,1958,2492,2545,2756,3146,3397,3840,4311,4373,4922,5455,6243,6802.0,7355.0,8025.0,8662.0,8928.0,9016.0,9644.0,9817.0,10049.0,10512.0,10982.0,11344.0,12188.0,12426.0,13059.0,13492.0,14122.0,14475.0,14782.0,15126.0,15282.0,15669.0,16001.0,,,
264,500,1108,1418,1884,2125,2194,2436,3069,3494,3794,3858,4300,4642,5047,5311,5781,6254.0,6804.0,7002.0,7697.0,7883.0,8331.0,8692.0,8947.0,9760.0,10062.0,10286.0,10686.0,11143.0,11686.0,12036.0,12743.0,13017.0,13353.0,13765.0,14178.0,14570.0,15182.0,15404.0,,,
124,340,656,813,1040,1570,2029,2232,2398,2451,3086,3442,3859,3975,4038,4358,4722,5236.0,5378.0,5783.0,5969.0,6162.0,6240.0,6764.0,7084.0,,,,,,,,,,,,,,,,,,
248,503,746,1056,1321,1820,2035,2104,2487,2860,3522,3783,3854,4402,4706,5353,5738,6583.0,6760.0,7316.0,7696.0,8132.0,8353.0,8702.0,8982.0,9584.0,9985.0,10087.0,,,,,,,,,,,,,,,
218,711,938,1267,1525,1684,1986,2159,2204,2315,2625,3052,3355,3491,3765,3833,4139,4368.0,4564.0,4986.0,5244.0,5454.0,5817.0,5935.0,6238.0,6445.0,6609.0,6925.0,,,,,,,,,,,,,,,
276,534,1087,1528,1705,2010,2448,2517,3452,4060,4722,4786,5187,5833,6194,6731,7604,7918.0,8111.0,9159.0,9778.0,10499.0,11158.0,12071.0,12588.0,13209.0,14069.0,14774.0,15339.0,,,,,,,,,,,,,,
230,522,1151,1502,1774,2139,2213,3130,3545,4327,4391,5041,5564,6310,6845,7740,8103,8430.0,9043.0,9618.0,10220.0,10555.0,11311.0,11869.0,12181.0,12422.0,13156.0,13341.0,13885.0,,,,,,,,,,,,,,
270,531,676,1417,1918,1993,2529,2801,3422,3486,4058,4266,4560,5021,5415,6193,6553,6724.0,6885.0,7262.0,,,,,,,,,,,,,,,,,,,,,,,
220,463,914,1037,1334,1703,1939,2048,2435,2912,2986,3492,3662,4305,4534,4599,4929,5192.0,5512.0,5636.0,6126.0,6423.0,6776.0,6930.0,7568.0,7796.0,8293.0,,,,,,,,,,,,,,,,
178,666,923,1223,1604,1795,2207,2281,2716,3224,3886,4076,4380,4721,4785,5261,5505,6364.0,6447.0,6848.0,6994.0,7315.0,7564.0,7713.0,8018.0,,,,,,,,,,,,,,,,,,
270,508,731,1397,1583,2248,2322,2804,3213,3460,3951,4385,4457,5165,5711,6308,6830,7315.0,7931.0,8545.0,8684.0,8870.0,8946.0,9127.0,,,,,,,,,,,,,,,,,,,
205,438,1243,1672,2072,2138,2555,2811,3370,3425,3944,4512,4583,5109,5514,6000,6394,6921.0,7265.0,7587.0,7816.0,8625.0,9347.0,9997.0,10343.0,,,,,,,,,,,,,,,,,,
387,854,1071,1226,1592,1762,2240,2413,2586,2853,3020,3165,3263,3905,4158,4425,5090,5515.0,5980.0,6088.0,6393.0,6840.0,7380.0,7917.0,,,,,,,,,,,,,,,,,,,
173,410,755,919,1144,1549,1764,2104,2179,2626,3392,3813,4083,4583,5039,5431,5851,6264.0,6938.0,7468.0,7914.0,8253.0,8757.0,9535.0,10219.0,10693.0,11295.0,11645.0,11792.0,11952.0,12060.0,12633.0,12972.0,,,,,,,,,,
253,505,979,1567,1947,2021,2540,3210,3708,4055,4230,4846,5050,5441,5962,6463,6819,7218.0,7893.0,8093.0,,,,,,,,,,,,,,,,,,,,,,,
