0,Labels
Stanford school of medicine today my guest is Dr Casey Halpern Dr Halpern is the chief of neurosurgery at the University of Pennsylvania School of Medicine his laboratory focuses on bulimia binge eating disorder and other forms of obsessive-compulsive behaviors normally when we hear about eating disorders or obsessive-compulsive ,0
disorders of other kinds the conversation quickly migrates to pharmacologic interventions and serotonin or dopamine or talk therapy interventions many of which can be effective The Halpern laboratory however takes an entirely different approach while they Embrace pharmacologic and behavioral and ,0
talk therapy interventions their main focus is the development and application of engineered devices to go directly into the brain and stimulate the neurons the nerve cells that generate compulsions that cause people to want to eat more even when their stomach is full in other words they do brain surgery of various kinds sometimes removing small ,0
bits of brain sometimes stimulating small bits of brain with electrical current and even stimulating the brain through the intact skull that is without having to drill down beneath the skull in order to alleviate and indeed sometimes cure these conditions today's discussion with Dr Halpern was an absolutely fascinating one for me ,0
because it represents the Leading Edge of what's happening in modification of brain circuits and the treatment of neurologic and psychiatric disease for instance they just recently published a paper in nature medicine one of the Premier journals out there entitled pilot study of responsive nucleus succumbings deep brain ,0
stimulation for loss of control eating the nucleus that Cummins is an area of our brains that we all have in fact we have two of them one on each side of the brain that is intimately involved in the release of dopamine for particular motivated behaviors and while most often we think about dopamine for the release of behaviors that we want to engage in ,0
um I as a part of our invasive trial uh where we are trying to pull patients from a TMS trial that's in parallel to what we're doing um all funded by the foundation for OCD research where we believe we can use TMs to to define a circuit that if modulated improves OCD albeit temporarily and in ,1
in this context they are using stimulation and control of neuronal activity in nucleus accumbens to control loss of control eating something that when people suffer from it despite knowing they shouldn't eat despite not even wanting to eat they find themselves eating so again this represents really the Leading Edge of where Neuroscience ,0
is going and certainly is going to be an area of Neuroscience that's going to expand in the years to come and Dr Halpern and the members of his laboratory are among a very small group of scientists in the world that are using the types approaches that I described a minute ago and that you're going to hear more about in today's ,0
episode in order to resolve some of the most difficult and debilitating human conditions during today discussion you will also learn about the use of deep brain stimulation and other approaches for the treatment of movement disorders such as essential tremor Parkinson's disease and various types of dystonias which are challenges in generating ,0
particular types of movement so whether or not you or somebody that you know suffers from an eating disorder from obsessive-compulsive disorder or from a movement disorder today's episode is sure to teach you not only about what's happening in those Arenas but also in the Arenas of Neuroscience generally in fact I would say today's episode is ,0
times a week um and in fact you know the patients that we're studying you know we've we've seen patients that lose control 20 30 times a week and that's probably the the term you have in mind when you're saying you're surprised that it's just one time a day and it's specifically related to the fact that these patients have to eat ,1
such a large amount of food in such a brief period of time um so it's hard to do that more than once a day I see um you mentioned that some pre-existing anxiety might bias somebody to have a binge I'm also fascinated by something I've observed before which was when I was in ,1
careful with their hands you're not going to see them doing heavy deadlifts you're not because of the way that impacts the motor neurons it's all about fine control yes um so if your neurosurgeon does heavy deadlifts you might want to consider getting a different neurosurgery I hope I didn't put anyone out of work there and then ,1
the other the other thing is that um you all are tend to be very calm people at least on the exterior we'll return to this later okay um but I do throw three or four questions out at once so so elevated autonomic arousal and alertness as well as decrease autonomic arousal and ,1
another stigma then there's the opposite in a way it's an opposite by the way for a phenotype standpoint is that anorexia I mean that's another stigma and you know gosh you know not to make this about one sex over another but when when girls are told they're pretty because they're thin it just reinforces this problem and of ,1
are very vulnerable and I think that will really help changing Society is hard and most of society is not you know ill meaning uh it's all done by accident um but that is the society that we live in so if we can try to improve that stigma uh and and be kinder to people in that way I think a lot of these problems would get better people that are obese ,1
by the way none of this has been published uh but I think it's so important for people to know this so I I am willing to share some aspects of what we're trying to do um but uh but that's that's really the first goal of this trial is to identify where the nucleus accumbens we can detect these craving cells so we have to ,1
provoke food craving in the operating room that's the first thing how do you do that ah well um there are some uh somewhat validated ways to do that so for example we asked patients to provide pictures of food that they rate very highly as something that they would typically crave and you know depending on the patient it might be something ,1
vulnerability is preceded by what we call a a moment of sort of pre-meal negative effect which basically means right before they binge they're feeling down or they feel stressed or anxious and they compensate for that momentary symptom by binging or losing control over food not everybody needs criteria ,1
exactly um you know with 0.5 millimeters of air so super precise uh or as precise as we think we need to be um and we use connectomics so there's a tool in brain Imaging called tractography where we can actually measure circuit connections it's it's an indirect assay but we believe it's ,1
especially important for anyone that wants to understand how the brain works and what the future of brain modification really looks like for all of us before we begin I'd like to emphasize that this podcast is separate from my teaching and research roles at Stanford it is however part of my desire and effort to bring zero cost to ,0
Consumer information about science and science related tools to the general public in keeping with that theme I'd like to thank the sponsors of today's podcast our first sponsor is Roca Roca makes eyeglasses and sunglasses they're of the absolute highest quality the company was founded by two All-American swimmers from Stanford and everything ,0
about Roka eyeglasses and sunglasses were created with performance in mind I've spent a lifetime working on the biology the visual system and I can tell you that your visual system has to contend with a number of very important challenges in order for you to be able to see clearly for instance when you go from a sunny area to a more shaded area ,0
um I wouldn't want to hyperactive certainly not an impulsive neurosurgeon given that the margins of error are so so tiny the spatial scale and probably on the temporal scale too yes and you don't want people doing things in time that are or being spontaneous at all do you think that this branch of medicine that you're in selects for ,0
people that at least can know how to control any kind of fluctuations in autonomic growl so they can calm themselves in real time and here's a specific question when I've never operated on the human brain although I've had the privilege of being in the operating room and seeing this with some of our experiments with people in VR ,0
it's a remarkable thing I wish for everybody that would get this experience at some point not hopefully as a patient unless they have a need but to observe it but what was just striking to me is the various uh stereotype behaviors of the surgeon and when I did surgeries as a graduate student as a postdoc in the brains of other types of animals I would ,0
and then back out again it's a very complex process Roca eyeglasses and sunglasses were built that is engineered with that sort of biology in mind and as a consequence no matter where you are wearing them and where you happen to be you always see through them with Crystal Clarity the aesthetic of Roca eyeglasses and sunglasses is also worth mentioning ,0
unlike a lot of performance eyeglasses out there which only come in the kind of cyborg variety Roca eyeglasses and sunglasses come in those varieties but they also come in varieties that you would feel very comfortable wearing out to dinner or to work or to school really anywhere that you go if you'd like to try Roca ,0
eyeglasses you can go to Roka that's roka.com and enter the code huberman to save 20 off on your first order again that's Roca roka.com and enter the code huberman at checkout today's episode is also brought To Us by eight sleep eight sleep makes mattress covers with cooling Heating and sleep tracking ability I've talked many times before on this podcast ,0
about the close relationship between temperature and your ability to stay asleep and emerge from sleep the way Aid Sleep mattress covers work is that they allow you to program the temperature of your mattress so that you can fall asleep quickly get into deep sleep stay in deep sleep and emerge from that sleep feeling especially rested by dropping ,0
the temperature of that Surface by one to three degrees at the beginning of the night dropping it a little bit further into the night and then raising the temperature towards morning because waking up requires that one to three degree re- increase in body temperature I've been sleeping on an eight-sleep mattress cover for the last six months ,0
or so now and I can assert that it is the absolute biggest Game Changer in the quality and duration of my sleep in fact I don't really like traveling as much as I used to because the eight sleep doesn't go with me and they don't seem to have them yet in airbnbs and hotels so this is also a call to action airbnbs and hotels please put eight sleep ,0
mattresses on your beds and I'll be more apt to stay in those hotels and airbnbs with that said if you'd like to try an eight-sleep mattress cover you can go to eightsleep.com huberman check out the Pod 3 cover to save 150 at checkout again that's eightsleep.com huberman and please note that eight sleep currently ships in the USA Canada UK select ,0
countries in the EU and Australia again eightsleep.com huberman to save 150 at checkout today's episode is also brought To Us by inside tracker inside tracker is a personalized nutrition platform that analyzes data from your blood and DNA to help you better understand your body and help you reach your health goals now I've long been a believer in ,0
getting regular blood work done for the simple reason that many of the factors that impact your immediate and long-term Health can only be assessed with a quality blood test one of the major issues with the various blood tests out there is that you get information back about lipids and hormones and metabolic factors Etc but you don't know what to ,0
do with that information with inside tracker they make knowing what to do with the information you get about your biological health extremely easy they have this very easy to use dashboard and that dashboard tells you for instance what to change in your nutrition what supplements you may want or may not want to take as well as other behavioral and ,0
other types of interventions that can allow you to move those numbers related to metabolic hormone and other factors into the precise range that's optimal for your immediate and long-term Health if you'd like to try inside tracker you can go to inside tracker.com huberman to get 20 off any of inside trackers plans again that's inside tracker.com huberman ,0
to get 20 off on many episodes of The huberman Lab podcast we talk about supplements while supplements aren't necessary for everyone buddy many people derive tremendous benefit from them things like enhancing sleep and the depth of sleep or for enhancing focus and cognitive ability or for enhancing energy or adjusting hormone levels to ,0
Optimal range for you the huberman Lab podcast is now partnered with momentous supplements we partner with momentous for a number of important reasons first of all the quality of their ingredients is exceptional it's really Second To None second of all they ship internationally and that was important to us because a number of you reside ,0
outside of the United States third we've worked with momentous very closely to develop single ingredient formulations now this turns out to be very important because if you're going to take supplements you want to know what's working for you and what isn't and of course you want to optimize the cost efficiency and the ,0
biological efficiency of those supplements to find the supplements we discussed on the huberman Lab podcast you can go to live momentous spelled ous live momentous.com huberman and I should just mention that the library of those supplements is constantly expanding again that's livemomentis.com huberman and now for my discussion with Dr Casey ,0
Halpern Casey I should say Dr Halpern listening welcome thank you great to be here yeah it's been a long time coming we were colleagues at Stanford and then recently you moved of course to University of Pennsylvania also an incredible institution we're sorry to lose you so it was better sweet for me too Stanford's loss is upenn's gain but ,0
um let's talk about your work uh past and present as I've told the listeners already you're a neurosurgeon which I consider the astronauts of Neuroscience because you're in somewhat Uncharted Territory or very Uncharted Territory and yet Precision is everything right the margins of error are very very small so ,0
for those that aren't familiar with the differences between neurosurgery neurology Psychiatry you just educate us a bit what does a neurosurgeon do and what does fact that you're a nurse surgeon do for your view of the brain how do you think about and conceptualize the brain yeah the scope of neurosurgery is quite ,0
broad uh when I was in medical school I I was drawn to neurosurgery because of a procedure known as deep brain stimulation when I was at Penn as a college student I actually watched my first deep brain stimulation surgery performed by Gordon boltuck who to date is one of my career mentors deep brain stimulation is a one surgery ,0
that neurosurgeons offer but it's actually sort of a very small minority of what neurosurgery does you know we take out brain tumors we clip aneurysms in the brain we take care of patients that have had traumatic brain injury concussion spine surgeries ninety percent of what ,0
have to place a a very thin wire that's insulated deep into a part of the brain that's involved in Parkinson's disease for example uh but that's actually not the therapy the therapy is delivering electrical stimulation through the tip of that wire or one of the tips as there actually are multiple contacts at the bottom of the ,0
wire they're very small uh but that's all done out of the operating room you know this stimulation wire is connected to a a battery pack or a pulse generator that's kind of like a pacemaker and so we deliver this therapy and I always tell patients it's a bit more like I have to implant a uh a tool ,0
to deliver you a medication but that medication is going to be in the form of electricity and it's going to be delivered into a very small region of the brain and it's that procedure that's inspired me to not just become a neurosurgeon but has really defined the focus of my research laboratory as well Maybe by way of antidote you could tell ,0
us one of the more outrageous or surprising or who knows um delightful and thrilling things about the brain that you've observed as a consequence of stimulating different brain areas you know in textbooks we always hear about uh the kind of dark stuff you know stimulate one brain area somebody goes into a rage stimulate another brain area ,0
