0,Labels
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
choose from in order to address and provide relief from any of the different types of headache before we begin I'd like to emphasize that this podcast is separate from my teaching and research roles at Stanford it is however part of my desire and effort to bring zero cost to Consumer information about science and science related tools to the general ,1
public in keeping with that theme I'd like to thank the sponsors of today's podcast our first sponsor is thesis thesis makes custom nootropics and as many of you know I'm not a fan of the word nootropics because nootropics means smart drugs and as a neuroscientist I can tell you there is no neural circuit in the brain for being smart thesis ,1
with momentous supplements to find the supplements we discuss on the huberman Lab podcast you can go to live momentous spelled ous live momentous.com huberman and I should just mention that the library of those supplements is constantly expanding again that's livemomentis.com huberman let's talk about headaches and as we are soon going ,1
to learn there are different types of headaches and different types of headaches arise from changes in different types of tissues in the head area and indeed in the neck area as well now one of the key things to understand is that if you want relief from a headache you need to understand which tissue is mainly involved in creating ,1
again you don't want to think about the brain as just sitting right next to the skull it's close by but there are a bunch of other thin fibrous tissues many of which are very thin and fragile and others of which such as the dura that are very very strong because they're very fibrous almost like a uh if you've ever felt for instance the sale of a of ,1
a sailboat you might think oh it's just this big flapping sheet in the wind it is anything but a sheet in the Wind it is a very very strong and durable material now the proximity of the dura and the meninges to the brain and the fact that everything is wrapped very tightly together and the fact that there's a lot of vasculature so that ,1
you'd like to check that out you go to hubermanlab.com just put into our search function immune system and you can find that episode by the way all of our episodes are searchable by keyword hubermanlab.com and it'll take you to specific episodes and time stamps for the topics you're interested in so for sake of this discussion about headache ,1
Sensory neurons they communicate the same way that motor neurons do that is they fire what we call Action potentials which are just electrical signals they release neurotransmitters like any other neuron but they respond to certain events in the environment or the environment within the body ,1
neurons and motor neurons and turns out those approaches exist as well okay so at this point I promise you that I'm not going to give you any more of a biology lesson in terms of pain sensing and headaches as a more uh conceptual phenomenon instead what I'd like to do next is talk about the different types of headaches and I think this is ,1
something that's very important and not often discussed except for those people out there that unfortunately suffer repeatedly from certain kinds of headaches like migraine or cluster or tension headache but I think for most people out there who experience headache and again that is everybody at some point experiences headache rather than ,1
not tension type headaches are going to come on because of some chronic psychological stress usually combined with lack of sleep usually combined with lifestyle issues and of course without getting into a long discussion about it anytime you have lack of sleep you're going to have excessive stress anytime you have excessive stress you're going ,1
that 43 43 percent of females suffer from migraine that is recurring headaches that qualify as migraine headaches and that 17 percent of men suffer from migraine headaches on a recurring basis which is again the definition of a migraine headache or one of the key definitions so all we can say for sure is that many ,1
exist in the brain and around the brain and that are going to cause the pain you're going to activate those Sensory neurons those non-iceceptors that will then give us the experience of extreme headache and migraine so taking an aspirin or something like it for migraine in some cases the worst possible Choice again so knowing what ,1
kind of headache you are experiencing is going to be essential here the other thing that you'll sometimes hear is that drinking a cup of coffee or getting caffeine through tea is a great way to deal with headache why would that be well it turns out that coffee can cause either vasoconstriction or vasodilation depending on when you ,1
